iter	Passed	Remaining
407	6122	8883
408	6136	8867
409	6151	8852
410	6165	8835
411	6179	8819
412	6193	8803
413	6207	8786
414	6221	8770
415	6235	8753
416	6250	8738
417	6264	8722
418	6279	8707
419	6295	8693
420	6310	8679
421	6327	8666
422	6347	8658
423	6363	8645
424	6378	8629
425	6392	8613
426	6406	8596
427	6422	8582
428	6437	8567
429	6454	8556
430	6472	8545
431	6490	8533
432	6508	8522
433	6524	8509
434	6540	8495
435	6556	8481
436	6573	8468
437	6588	8454
438	6606	8441
439	6622	8428
440	6637	8414
441	6652	8398
442	6668	8384
443	6681	8366
444	6695	8350
445	6710	8334
446	6726	8321
447	6741	8305
448	6755	8289
449	6769	8274
450	6783	8258
451	6797	8241
452	6810	8224
453	6825	8209
454	6840	8193
455	6856	8179
456	6870	8163
457	6884	8146
458	6898	8131
459	6912	8114
460	6929	8102
461	6942	8085
462	6956	8068
463	6971	8052
464	6985	8037
465	6999	8021
466	7015	8006
467	7031	7993
468	7047	7978
469	7062	7964
470	7077	7948
471	7093	7935
472	7110	7922
473	7125	7907
474	7141	7892
475	7154	7875
476	7168	7860
477	7183	7844
478	7198	7829
479	7214	7815
480	7229	7800
481	7242	7783
482	7259	7770
483	7274	7754
484	7291	7742
485	7305	7726
486	7318	7708
487	7333	7693
488	7347	7677
489	7361	7661
490	7376	7646
491	7389	7629
492	7403	7614
493	7416	7596
494	7431	7581
495	7445	7565
496	7460	7550
497	7476	7536
498	7492	7522
499	7513	7513
500	7527	7497
501	7541	7481
502	7556	7465
503	7569	7449
504	7584	7434
505	7597	7417
506	7610	7400
507	7624	7384
508	7637	7367
509	7652	7352
510	7666	7336
511	7681	7321
512	7695	7305
513	7710	7290
514	7726	7276
515	7742	7262
516	7758	7247
517	7773	7233
518	7788	7218
519	7804	7204
520	7820	7189
521	7836	7176
522	7852	7162
523	7868	7147
524	7883	7132
525	7900	7119
526	7917	7106
527	7932	7090
528	7946	7075
529	7961	7060
530	7976	7045
531	7991	7030
532	8007	7015
533	8025	7003
534	8042	6990
535	8058	6975
536	8072	6960
537	8096	6952
538	8110	6936
539	8124	6921
540	8140	6906
541	8154	6890
542	8169	6875
543	8185	6860
544	8200	6846
545	8215	6831
546	8230	6815
547	8245	6801
548	8261	6786
549	8276	6772
550	8293	6758
551	8309	6744
552	8325	6729
553	8339	6713
554	8353	6697
555	8367	6681
556	8381	6665
557	8396	6651
558	8412	6636
559	8427	6621
560	8442	6606
561	8457	6591
562	8472	6576
563	8487	6561
564	8502	6546
565	8517	6530
566	8531	6515
567	8545	6499
568	8559	6483
569	8575	6469
570	8589	6453
571	8604	6438
572	8618	6422
573	8632	6406
574	8644	6389
575	8658	6373
576	8677	6361
577	8692	6346
578	8706	6330
579	8720	6314
580	8734	6299
581	8749	6284
582	8766	6270
583	8784	6257
584	8798	6241
585	8813	6226
586	8826	6210
587	8840	6194
588	8854	6178
589	8868	6162
590	8881	6146
591	8896	6131
592	8909	6115
593	8923	6098
594	8937	6083
595	8950	6067
596	8964	6051
597	8979	6036
598	8993	6020
599	9007	6005
600	9020	5988
601	9035	5973
602	9049	5957
603	9063	5942
604	9076	5926
605	9091	5910
606	9104	5894
607	9117	5878
608	9131	5862
609	9145	5846
610	9158	5830
611	9172	5815
612	9184	5798
613	9200	5783
614	9214	5768
615	9229	5753
616	9244	5738
617	9262	5725
618	9276	5709
619	9291	5694
620	9305	5678
621	9318	5662
622	9331	5646
623	9345	5630
624	9359	5615
625	9372	5599
626	9385	5583
627	9398	5567
628	9412	5551
629	9425	5535
630	9440	5520
631	9454	5505
632	9468	5489
633	9482	5474
634	9497	5458
635	9510	5443
636	9523	5426
637	9544	5415
638	9569	5406
639	9598	5398
640	9618	5386
641	9639	5375
642	9654	5360
643	9668	5344
644	9681	5328
645	9695	5313
646	9707	5296
647	9721	5280
648	9734	5264
649	9747	5248
650	9761	5232
651	9773	5216
652	9786	5200
653	9799	5184
654	9810	5167
655	9822	5151
656	9838	5136
657	9852	5120
658	9864	5104
659	9876	5088
660	9888	5071
661	9901	5055
662	9914	5039
663	9926	5022
664	9938	5006
665	9950	4990
666	9962	4973
667	9975	4957
668	9987	4941
669	10002	4926
670	10016	4911
671	10030	4896
672	10045	4881
673	10058	4865
674	10072	4849
675	10084	4833
676	10098	4817
677	10112	4802
678	10125	4786
679	10137	4770
680	10151	4755
681	10164	4739
682	10178	4723
683	10193	4709
684	10207	4693
685	10221	4678
686	10236	4663
687	10248	4647
688	10261	4631
689	10275	4616
690	10288	4600
691	10301	4584
692	10313	4568
693	10326	4553
694	10337	4536
695	10350	4520
696	10361	4504
697	10374	4488
698	10385	4472
699	10397	4456
700	10411	4440
701	10426	4426
702	10440	4411
703	10454	4395
704	10465	4379
705	10477	4363
706	10489	4347
707	10501	4331
708	10513	4315
709	10526	4299
710	10538	4283
711	10549	4267
712	10561	4251
713	10573	4235
714	10585	4219
715	10597	4203
716	10609	4187
717	10621	4171
718	10634	4156
719	10646	4140
720	10657	4124
721	10670	4108
722	10682	4092
723	10694	4076
724	10706	4061
725	10718	4045
726	10731	4029
727	10743	4013
728	10754	3997
729	10766	3981
730	10777	3966
731	10789	3950
732	10800	3934
733	10812	3918
734	10823	3902
735	10835	3886
736	10847	3870
737	10859	3855
738	10870	3839
739	10882	3823
740	10894	3808
741	10907	3792
742	10919	3776
743	10931	3761
744	10942	3745
745	10954	3729
746	10965	3713
747	10977	3698
748	10993	3683
